n_neurons,n_layers,dropout,epochs,optimizer,loss 1,accuracy 1,loss 2,accuracy 2,loss 3,accuracy 3,loss 4,accuracy 4,loss 5,accuracy 5
512,1,0.25,5,adam,0.0635842531919479,0.9800000190734864,0.0653658583760261,0.9799000024795532,0.0606658644974231,0.9810000061988832,0.0754468813538551,0.9782000184059144,0.0607833676040172,0.9810000061988832
1024,1,0.25,5,adam,0.0640241056680679,0.97979998588562,0.0695965588092804,0.97979998588562,0.0692960321903228,0.9807999730110168,0.0728267803788185,0.978600025177002,0.0750894621014595,0.977999985218048
2048,1,0.25,5,adam,0.0760370269417762,0.9775999784469604,0.0958026498556137,0.97680002450943,0.0819093957543373,0.9763000011444092,0.0673305317759513,0.9807000160217284,0.0775221958756446,0.979099988937378
4096,1,0.25,5,adam,0.0768891498446464,0.9811999797821044,0.1010225713253021,0.9739999771118164,0.0837192833423614,0.9771999716758728,0.0668433085083961,0.9829000234603882,0.0942646265029907,0.974399983882904
512,2,0.25,5,adam,0.0697911828756332,0.979099988937378,0.0773616954684257,0.977299988269806,0.0725831389427185,0.9800999760627748,0.0697370469570159,0.9812999963760376,0.0790425464510917,0.97680002450943
512,3,0.25,5,adam,0.0835477337241172,0.9769999980926514,0.0818912982940673,0.9776999950408936,0.084200844168663,0.9778000116348268,0.0875147655606269,0.9767000079154968,0.0668533146381378,0.9815000295639038
512,4,0.25,5,adam,0.0968590080738067,0.9769999980926514,0.0874048620462417,0.9757999777793884,0.0856694728136062,0.9789000153541564,0.0934710428118705,0.9768999814987184,0.0916477739810943,0.9767000079154968
512,1,0.0,5,adam,0.0727463290095329,0.979200005531311,0.0842356756329536,0.97680002450943,0.0788172557950019,0.9763000011444092,0.0637734532356262,0.980400025844574,0.0706006661057472,0.9785000085830688
512,1,0.5,5,adam,0.0699853673577308,0.9787999987602234,0.0681925117969513,0.9782000184059144,0.0691558718681335,0.9793999791145324,0.0704219862818718,0.9769999980926514,0.0660495236515998,0.98089998960495
512,1,0.25,5,RMSprop,0.0796935409307479,0.977999985218048,0.0726540610194206,0.9804999828338624,0.0697903558611869,0.9811999797821044,0.0829711630940437,0.9764000177383424,0.0739655643701553,0.9801999926567078
512,1,0.25,5,SGD,0.2011512815952301,0.9448000192642212,0.1997180730104446,0.9433000087738036,0.2017792314291,0.9444000124931335,0.20170558989048,0.9442999958992004,0.1984325498342514,0.942900002002716
512,1,0.25,10,adam,0.067465528845787,0.9832000136375428,0.0696171000599861,0.9833999872207642,0.0643477663397789,0.9830999970436096,0.0720487907528877,0.9818999767303468,0.068008616566658,0.9824000000953674
512,1,0.25,20,adam,0.0823707655072212,0.9824000000953674,0.0839644372463226,0.9854000210762024,0.0909517556428909,0.9828000068664552,0.0824349448084831,0.9843999743461608,0.0965365618467331,0.9829000234603882
512,1,0.25,30,adam,0.1116063967347145,0.983299970626831,0.1049082428216934,0.9832000136375428,0.1108555942773819,0.983299970626831,0.0962307825684547,0.9846000075340272,0.1073034703731536,0.9830999970436096
